Title,Author,Date,Blog Type,Comments,Likes,Employee Type,Tags,Link
Part 3: Innovation in Hybrid Spaces: It’s More Dynamic Than You Think ,Scott Dillon,"February 10, 2021",Personal Insights,0,1,SAP Employee,"SAP Cloud Platform,SAP Connectivity service",https://blogs.sap.com/2021/02/10/part-3-innovation-in-hybrid-spaces-its-more-dynamic-than-you-think/
Guided Answers for SAP Business Technology Platform ,Ani Koycheva,"February 9, 2021",Product Information,0,6,SAP Employee,"SAP Business Technology Platform,Identity Authentication,SAP BTP, Cloud Foundry environment,SAP Cloud Platform,SAP Connectivity service",https://blogs.sap.com/2021/02/09/guided-answers-for-sap-business-technology-platform/
Data Management for Technical Tables for SAP S/4HANA ,Gilbert Wong,"February 9, 2021",Technical Articles,3,11,SAP Employee,"SAP S/4HANA,Database and Data Management",https://blogs.sap.com/2021/02/09/data-management-for-technical-tables-for-sap-s-4hana/
Total Value Currency in Purchase Requisitions ,Purnima Subramanian,"February 9, 2021",Product Information,0,4,SAP Employee,SAP S/4HANA Cloud,https://blogs.sap.com/2021/02/09/total-value-currency-in-purchase-requisitions/
Fosstars: a framework for defining ratings for open source projects ,Artem Smotrakov,"February 9, 2021",Technical Articles,0,2,SAP Employee,"Open Source,Java,Security",https://blogs.sap.com/2021/02/09/fosstars-a-framework-for-defining-ratings-for-open-source-projects/
Mediating between user requirements and software complexity – SAP’s UX design principles in context-aware IT ,Sinah Busch,"February 9, 2021",Business Trends,0,3,SAP Employee,"SAP Fiori,User Experience",https://blogs.sap.com/2021/02/09/mediating-between-user-requirements-and-software-complexity-saps-ux-design-principles-in-context-aware-it/
Using Microsoft Graph API with OAuth 2.0 Authorization Code via seperate Node.JS App within Multi Target Application ,Philipp Bischoff,"February 9, 2021",Technical Articles,1,10,SAP Employee,"SAP Cloud Platform,Node.js",https://blogs.sap.com/2021/02/09/using-microsoft-graph-api-with-oauth-2.0-authorization-code-via-seperate-node.js-app-within-multi-target-application/
インターン学生が挑戦⁈SAP HANA Cloudでテーブルを作ってみよう！ ,Tatsuya Hizume,"February 9, 2021",Technical Articles,0,3,SAP Employee,SAP HANA Cloud,https://blogs.sap.com/2021/02/09/introduction-of-sap-hana-cloud-by-star-intern/
Project System – Budget availability control for materials ,Dmitry Korn,"February 9, 2021",Technical Articles,3,1,N/A,PLM Project System (PS),https://blogs.sap.com/2021/02/09/project-system-budget-availability-control-for-materials/
1099-NEC Withholding Tax Return for Nonemployee Compensation ,Ingrid Macova,"February 9, 2021",Product Information,0,1,SAP Employee,"SAP Business ByDesign,FIN (Finance),FIN Posting and Taxes",https://blogs.sap.com/2021/02/09/1099-nec-withholding-tax-return-for-nonemployee-compensation/
ABAP Report using SAP Translation Hub for i18n of Texts of ABAP Artefacts ,Wolfgang Röckelein,"February 9, 2021",Technical Articles,0,5,N/A,"SAP Translation Hub,Internationalization and Unicode,OData",https://blogs.sap.com/2021/02/09/abap-report-using-sap-translation-hub-for-i18n-of-texts-of-abap-artefacts/
Value Creation at Quantum Speeds ,Rakesh Shetty,"February 9, 2021",Business Trends,0,1,SAP Employee,"Cloud,Banking,Digital Transformation,Healthcare,Retail",https://blogs.sap.com/2021/02/09/value-creation-at-quantum-speeds/
"SAP and 5G enabling the Intelligent Enterprise Webinar in South Africa – February 24, 2021 ",Toros Aledjian,"February 9, 2021",Event Information,0,1,SAP Employee,"SAP Cloud Platform,SAP Mobile Platform",https://blogs.sap.com/2021/02/09/sap-and-5g-enabling-the-intelligent-enterprise-webinar-in-south-africa-february-24-2021/
ForUsGirls & SAP Young Thinkers spark innovative creativity for our next generation of female leaders ,Maren Meyer,"February 9, 2021",Event Information,1,3,SAP Employee,"SAP Young Thinkers,SAP University Alliances",https://blogs.sap.com/2021/02/09/forusgirls-sap-young-thinkers-create-a-new-reality-for-our-next-generation-of-female-leaders/
Integrating SAP Business Technology Platform with Blockchain Service ,Swapnil Galgali,"February 9, 2021",Technical Articles,0,7,SAP Employee,"SAP Business Technology Platform,Blockchain,SAP Cloud Platform",https://blogs.sap.com/2021/02/09/integrating-sap-business-technology-platform-with-blockchain-service/
I Recommend Expert Chat ,Akihiro Saito,"February 9, 2021",Personal Insights,0,2,N/A,Support Services,https://blogs.sap.com/2021/02/09/i-recommend-expert-chat/
"Weekly Mission & Badge Roundup // February 1 – February 7, 2021 ",Lena Stodal,"February 9, 2021",Personal Insights,4,14,SAP Employee,SAP Community,https://blogs.sap.com/2021/02/09/weekly-mission-badge-roundup-february-1-february-7-2021/
SYSAM License Manager Technical Guide ,Klaus Roehler genannt Riemer,"February 9, 2021",Technical Articles,0,2,SAP Employee,SAP PowerDesigner,https://blogs.sap.com/2021/02/09/sysam-license-manager-technical-guide/
"[Register Now] Business Builder: Depicting Business Strategy, Objectives, and Goals ",Jakub Kufel,"February 9, 2021",Event Information,0,0,SAP Employee,"SAP Data Warehouse Cloud,BW (SAP Business Warehouse),SAP BW/4HANA",https://blogs.sap.com/2021/02/09/register-now-business-builder-depicting-business-strategy-objectives-and-goals/
Equipment as a service with SAP IoT – Part 4 ,Jay Adnure,"February 9, 2021",Technical Articles,0,0,SAP Employee,"SAP Internet of Things,Customer Experience,Internet of Things,SAP Business Technology Platform,SAP Commerce Cloud",https://blogs.sap.com/2021/02/09/equipment-as-a-service-with-sap-iot-part-4/
SAP TechEd Session and Expert Q&A for SAP Community: What is the right ALM Solution for you? ,Benjamin Schneider,"February 9, 2021",Event Information,4,1,SAP Employee,"SAP Solution Manager,SAP Cloud ALM,SAP TechEd",https://blogs.sap.com/2021/02/09/sap-teched-session-and-expert-qa-for-sap-community-what-is-the-right-alm-solution-for-you/
Your opportunity to Influence SAP – Customer Engagement Initiative Projects 2021-1 for SAP Business Technology Platform ,Maxime Kremer,"February 9, 2021",Product Information,0,2,SAP Employee,"SAP Business Technology Platform,Customer Influence",https://blogs.sap.com/2021/02/09/your-opportunity-to-influence-sap-customer-engagement-initiative-projects-2021-1-for-sap-business-technology-platform/
Performance Acceleration in DMEE(X) ,Tomas Pavlicek,"February 9, 2021",Product Information,0,2,SAP Employee,"SAP S/4HANA,SAP Fiori,SAP Fiori Cloud,SAP Fiori for SAP S/4HANA,SAP S/4HANA Cloud",https://blogs.sap.com/2021/02/09/performance-acceleration-in-dmeex/
SAP Analytics Cloud Story development in a single tenant scenario ,Mario Nadegger,"February 9, 2021",Technical Articles,5,7,N/A,SAP Analytics Cloud,https://blogs.sap.com/2021/02/09/sap-analytics-cloud-story-development-in-a-single-tenant-scenario/
Data as a Competitive Advantage ,Christina Grace,"February 9, 2021",Business Trends,1,2,SAP Employee,"Business Trends,Governance, Risk, Compliance (GRC), and Cybersecurity,SAP Access Control,SAP Cloud Identity Access Governance,SAP Intelligent Robotic Process Automation",https://blogs.sap.com/2021/02/09/data-as-a-competitive-advantage/
SAP Business Application Studio and SAP Web IDE Full-Stack ,Keren Rotenberg,"February 9, 2021",Product Information,3,22,SAP Employee,"SAP Business Application Studio,SAP Cloud Application Programming Model,SAP Cloud Platform,SAP Fiori tools,SAP HANA",https://blogs.sap.com/2021/02/09/sap-business-application-studio-and-sap-web-ide-full-stack/
Assigning Dynamically changing Profile Pictures and User names based on User in SAP Design Studio – Part 1 ,bhavyasree m,"February 9, 2021",Technical Articles,0,1,N/A,"SAP BusinessObjects Design Studio,SAP Lumira",https://blogs.sap.com/2021/02/09/assigning-dynamically-changing-profile-pictures-and-user-names-based-on-user-in-sap-design-studio-part-1/
openSAP course about the SAP Integration Solution Advisory Methodology ,Katrin Ahsen,"February 9, 2021",Event Information,2,6,SAP Employee,"SAP Business Technology Platform,SAP Data Intelligence,SAP Integration Suite",https://blogs.sap.com/2021/02/09/opensap-course-about-the-sap-integration-solution-advisory-methodology/
Intelligent Mobile Expense Scanning ,Hilko Mueller,"February 9, 2021",Product Information,3,3,SAP Employee,SAP Business ByDesign,https://blogs.sap.com/2021/02/09/intelligent-mobile-expense-scanning/
Intelligent Business Document Processing: Blockbuster or Netflix? ,Justin Borders,"February 9, 2021",Product Information,0,4,SAP Employee,"Small and Midsize Enterprises,Artificial Intelligence,Business Entity Recognition,Document Classification,Document Information Extraction",https://blogs.sap.com/2021/02/09/intelligent-business-document-processing/
Enterprise Portfolio and Project Management in SAP S/4HANA Cloud 2102 ,Corina Kinzel,"February 9, 2021",Product Information,1,6,SAP Employee,"SAP S/4HANA Cloud,SAP S/4HANA,SAP S/4HANA Cloud for Finance,SAP S/4HANA Cloud for Research and Development",https://blogs.sap.com/2021/02/09/enterprise-portfolio-and-project-management-in-sap-s-4hana-cloud-2102/
Business ByDesign Service Order Confirmations in the employee time sheet ,Sandeep Dinesh Janardan,"February 9, 2021",Product Information,2,3,SAP Employee,"SAP Business ByDesign,HCM Time Management",https://blogs.sap.com/2021/02/09/business-bydesign-service-order-confirmations-in-the-employee-time-sheet/
Scripting: Uploading an Excel Spreadsheet on SAP GUI for windows 7.60 ,Andy Pataselano,"February 9, 2021",Technical Articles,0,0,N/A,SAP Screen Personas,https://blogs.sap.com/2021/02/09/scripting-uploading-an-excel-spreadsheet-on-sap-gui-for-windows-7.60/
Sending Notifications via the REST API ,Akarsh Sidhartha,"February 9, 2021",Technical Articles,0,2,SAP Employee,"SAP Cloud Platform Mobile Services,SAP BTP, Cloud Foundry environment",https://blogs.sap.com/2021/02/09/sending-notifications-via-the-rest-api/
Let’s not REDUCE the readability of the code ,Suhas Saha,"February 9, 2021",Technical Articles,16,16,SAP Employee,ABAP Development,https://blogs.sap.com/2021/02/09/lets-not-reduce-the-readability-of-the-code/
How to connect your CAP application to SAC – Creating HANA Calculation View ,Leo Richard Irudayam,"February 9, 2021",Technical Articles,2,3,SAP Employee,"SAP Cloud Application Programming Model,Java,Node.js,SAP Analytics Cloud,SAP Cloud Platform",https://blogs.sap.com/2021/02/09/how-to-connect-your-cap-application-to-sac-creating-hana-calculation-view/
SCORM upload from SAP Enable Now to SF LMS ,Kristina Kunad,"February 9, 2021",Technical Articles,0,4,SAP Employee,"SAP Enable Now,SAP Enable Now, cloud edition",https://blogs.sap.com/2021/02/09/scorm-upload-from-sap-enable-now-to-sf-lms/
Create Payment Runs for Payment Requests ,A P Raghuthaman,"February 9, 2021",Personal Insights,0,2,N/A,"FIN Accounts Receivable and Payable,SAP Bank Communication Management,SAP Payment Approvals,SAP S/4HANA Finance",https://blogs.sap.com/2021/02/09/create-payment-runs-for-payment-requests/
Your opportunity to Influence SAP – Customer Engagement Initiative Projects 2021-1 for Network and Spend Management ,Maxime Kremer,"February 9, 2021",Product Information,0,0,SAP Employee,"SAP Ariba Procurement,Customer Influence",https://blogs.sap.com/2021/02/09/your-opportunity-to-influence-sap-customer-engagement-initiative-projects-2021-1-for-network-and-spend-management/
GRC Tuesdays: The Role of a Risk Committee ,Thomas Frenehard,"February 9, 2021",Personal Insights,0,0,SAP Employee,"Governance, Risk, Compliance (GRC), and Cybersecurity,SAP Risk Management",https://blogs.sap.com/2021/02/09/the-role-of-a-risk-committee/
Salesforce integration: common requirements and use cases. ,Peter Ha,"February 9, 2021",Technical Articles,4,2,N/A,SAP Integration Suite tools,https://blogs.sap.com/2021/02/09/salesforce-integration-common-requirements-and-use-cases./
"RISE with SAP: SAP Activate Methodology for with SAP S/4HANA Cloud, private edition ",Adnette Kamugisha,"February 8, 2021",Product Information,0,17,SAP Employee,"SAP S/4HANA,Implementation Methodologies,SAP Best Practices,SAP Business Technology Platform,SAP S/4HANA Cloud",https://blogs.sap.com/2021/02/08/rise-with-sap-sap-activate-methodology-for-with-sap-s-4hana-cloud-private-edition/
Exploring ABAP RESTful Application Programming Model (RAP) ,Milton Chandradas,"February 8, 2021",Technical Articles,11,22,SAP Employee,"ABAP RESTful Programming Model,SAP Business Technology Platform,SAP Cloud Platform",https://blogs.sap.com/2021/02/08/exploring-abap-restful-programming-model-rap/
Extending Zero Trust to the Cloud with SAP Data Custodian ,Ivana Lee,"February 8, 2021",Product Information,1,0,SAP Employee,"Cloud,SAP HANA",https://blogs.sap.com/2021/02/08/extending-zero-trust-to-the-cloud-with-sap-data-custodian/
Manufacturing and Supply Chain in SAP S/4HANA Cloud 2102 ,Gerhard Welker,"February 8, 2021",Product Information,0,11,SAP Employee,"SAP S/4HANA Cloud,SAP S/4HANA Cloud for Manufacturing,SAP S/4HANA Cloud for Supply Chain,SAP S/4HANA for advanced ATP",https://blogs.sap.com/2021/02/08/manufacturing-and-supply-chain-in-sap-s-4hana-cloud-2102/
SAP Intelligent RPA and Ariba: Automate Non-PO Invoicing ,Max McPhee,"February 8, 2021",Technical Articles,0,3,SAP Employee,"SAP Intelligent Robotic Process Automation,SAP Ariba Procurement,SAP Business Technology Platform",https://blogs.sap.com/2021/02/08/sap-intelligent-rpa-and-ariba-automate-non-po-invoicing/
"SAP Activate Methodology for SAP S/4HANA Cloud, extended edition is now available in Cloud ALM ",Lisa Kouch,"February 8, 2021",Product Information,0,4,SAP Employee,"Implementation Methodologies,SAP Cloud ALM,SAP S/4HANA Cloud",https://blogs.sap.com/2021/02/08/sap-activate-methodology-for-sap-s-4hana-cloud-extended-edition-is-now-available-in-cloud-alm/
App Support for the SAP Fiori Launchpad ,Tobias Moessle,"February 8, 2021",Product Information,3,21,SAP Employee,"SAP Fiori Launchpad,SAP Fiori,SAP Fiori for SAP S/4HANA,SAP Fiori front-end server,SAP Fiori tools",https://blogs.sap.com/2021/02/08/app-support-for-the-sap-fiori-launchpad/
S/4HC Export Master Data Apps – Access “Missing” Key Fields ,Devin Good,"February 8, 2021",Technical Articles,0,1,SAP Employee,SAP S/4HANA Cloud,https://blogs.sap.com/2021/02/08/s-4hc-export-master-data-apps-access-missing-key-fields/
Consume OData Deep Structure In ABAP ,Sreekanth Pavoor,"February 8, 2021",Technical Articles,2,3,N/A,"OData,ABAP Development,NW ABAP Gateway (OData),SAP Gateway",https://blogs.sap.com/2021/02/08/consume-odata-deep-structure-in-abap/
Your opportunity to Influence SAP – Customer Engagement Initiative Projects for SAP S/4HANA ,Maxime Kremer,"February 8, 2021",Product Information,0,0,SAP Employee,Customer Influence,https://blogs.sap.com/2021/02/08/your-opportunity-to-influence-sap-customer-engagement-initiative-projects-for-sap-s-4hana-4/
Free Form Payments ,A P Raghuthaman,"February 8, 2021",Technical Articles,1,0,N/A,"banking services from SAP,FIN Accounts Receivable and Payable,SAP Payment Approvals",https://blogs.sap.com/2021/02/08/free-form-payments/
Best Practices for patching BI servers ,Turgay Samdanli,"February 8, 2021",Technical Articles,2,2,N/A,SAP BusinessObjects Business Intelligence platform,https://blogs.sap.com/2021/02/08/__trashed-109/
Why Identity authentication is required for SAP SuccessFactors Application ,Sushil Gupta,"February 8, 2021",Technical Articles,0,8,N/A,"Identity Authentication,Identity Provisioning,SAP SuccessFactors Succession & Development",https://blogs.sap.com/2021/02/08/why-identity-authentication-is-required-for-sap-successfactors-application/
What’s New in Purchase Requisitions – SAP S/4HANA Cloud 2102 ,Purnima Subramanian,"February 8, 2021",Product Information,3,7,SAP Employee,SAP S/4HANA Cloud,https://blogs.sap.com/2021/02/08/whats-new-in-purchase-requisitions-sap-s-4hana-cloud-2102/
Support Spotlight: A Numbers Person but not an SQL Wizard? ,Jesper Magnusson,"February 8, 2021",Product Information,0,1,SAP Employee,SAP Business One,https://blogs.sap.com/2021/02/08/support-spotlight-a-numbers-person-but-not-an-sql-wizard/
Partner libraries for Parties Determined in CRM documents and libraries for Organizational Management data ,Murthy V,"February 8, 2021",Product Information,0,0,SAP Employee,SAP Business ByDesign,https://blogs.sap.com/2021/02/08/partner-libraries-for-crm-determined-parties-and-organizational-management-data/
Sales Kit Header Product with GTIN support in Over the Counter Sales documents of SAP Business ByDesign Cloud ERP ,Murthy V,"February 8, 2021",Product Information,0,0,SAP Employee,SAP Business ByDesign,https://blogs.sap.com/2021/02/08/sales-kit-header-product-with-gtin-support-in-over-the-counter-sales-documents-of-sap-business-bydesign-cloud-erp/
"How to call SAP BTP application, scheduled by Microsoft Azure Logic App ",Carlos Roggan,"February 8, 2021",Technical Articles,1,5,SAP Employee,"SAP Cloud Platform,SAP BTP, Cloud Foundry environment",https://blogs.sap.com/2021/02/08/how-to-call-sap-btp-app-regularly-from-microsoft-azure-logic-apps/
Unlock Manually Documents and End Sessions ,Martin Pavlinsky,"February 8, 2021",Product Information,0,3,SAP Employee,SAP Business ByDesign,https://blogs.sap.com/2021/02/08/unlock-manually-documents-and-end-sessions/
Use Case: Dynamically Compare Dimension Members Using Constant Selection ,Anna BURKHARDT,"February 8, 2021",Technical Articles,0,4,SAP Employee,"SAP Analytics Cloud,Analytics,Cloud",https://blogs.sap.com/2021/02/08/use-case-dynamically-compare-dimension-members-using-constant-selection/
SAP Fiori for SAP S/4HANA – Best Practices for Upgrades and Application of Patches ,Leslie Castle,"February 8, 2021",Technical Articles,1,19,SAP Employee,"SAP Fiori for SAP S/4HANA,SAP S/4HANA",https://blogs.sap.com/2021/02/08/sap-fiori-for-sap-s-4hana-best-practices-for-upgrades-and-application-of-patches/
Solution to Product Substitution problem with Idocs (Note 1702275) ,Ketan Sood,"February 8, 2021",Technical Articles,0,1,N/A,"SD Sales,ABAP Development",https://blogs.sap.com/2021/02/08/solution-to-product-substituition-problem-with-idocs-note-1702275/
Sky’s the limit! Get the Most from Your Support & S/4 HANA Cloud: Webcast ,Katie Guthrie,"February 8, 2021",Event Information,0,7,SAP Employee,"Customer Experience,SAP Community,SAP S/4HANA,Support Services",https://blogs.sap.com/2021/02/08/skys-the-limit-get-the-most-from-your-support-s-4-hana-cloud-webcast/
SAP Business ByDesign – What’s New 21.02 ,Kristof Schneider,"February 8, 2021",Product Information,2,6,SAP Employee,SAP Business ByDesign,https://blogs.sap.com/2021/02/08/sap-business-bydesign-whats-new-21.02/
Commenting privilege in SAP Analytics Cloud ,Pranav Kumar,"February 8, 2021",Product Information,0,4,SAP Employee,SAP Analytics Cloud,https://blogs.sap.com/2021/02/08/commenting-privilege-in-sap-analytics-cloud/
Outcome Based Guidance: Get Fit for the Execution of Your Investment and Business Decisions ,Nadia Casagrande,"February 8, 2021",Business Trends,0,2,SAP Employee,Partnership,https://blogs.sap.com/2021/02/08/outcome-based-guidance-get-fit-for-the-execution-of-your-investment-and-business-decisions/
#10YearsChallengeStory – Wojciech Krzemień ,EWELINA ROGOZ,"February 8, 2021",Personal Insights,0,2,SAP Employee,"Careers,Employee Experience Management",https://blogs.sap.com/2021/02/08/10yearschallengestory-wojciech-krzemien/
"Driving Innovation with Automation: Increasing Efficiency, Lowering Costs & Discovering New Opportunities ",Timo ELLIOTT,"February 8, 2021",Business Trends,0,1,SAP Employee,"SAP Business Technology Platform,Business Trends,Digital Transformation",https://blogs.sap.com/2021/02/08/driving-innovation-with-automation-increasing-efficiency-lowering-costs-discovering-new-opportunities/
Driving Innovation with Automation and Its Endless Potential ,Timo ELLIOTT,"February 8, 2021",Business Trends,0,0,SAP Employee,"Business Trends,Digital Transformation,SAP Business Technology Platform",https://blogs.sap.com/2021/02/08/driving-innovation-with-automation-and-its-endless-potential/
SAP Analysis Office + SAP Analytics Cloud add-in for Microsoft Office Road Map Updates ,Tammy Powlas,"February 8, 2021",Product Information,3,4,N/A,"SAP Analysis for Microsoft Office,SAP Analytics Cloud, add-in for Microsoft Office,SAP Mentors",https://blogs.sap.com/2021/02/08/sap-analysis-office-sap-analytics-cloud-add-in-for-microsoft-office-road-map-updates/
Hana SDI Adapter for Azure Data Lake ,Werner Dähn,"February 8, 2021",Technical Articles,3,7,N/A,"SAP HANA,SAP HANA smart data integration",https://blogs.sap.com/2021/02/08/hana-sdi-adapter-for-azure-data-lake/
"[SAP Community Call] Digital Supply Chain Experience with SAP Conversational AI, Novigo Transportation Portal and SAP S/4HANA ",Paul PINARD,"February 8, 2021",Event Information,0,2,SAP Employee,"SAP Conversational AI,SAP Business Technology Platform,SAP Community,SAP Fiori Launchpad,SAP S/4HANA",https://blogs.sap.com/2021/02/08/sap-community-call-digital-supply-chain-experience-with-sap-conversational-ai-novigo-transportation-portal-and-sap-s-4hana/
Cross-Generational Mentorship 2020 – “Welcome to the world of Mentworking” ,Saurabh Gaur,"February 8, 2021",Personal Insights,0,1,SAP Employee,Diversity and Inclusion,https://blogs.sap.com/2021/02/08/cross-generational-mentorship-2020-welcome-to-the-world-of-mentworking/
SAP Enterprise Support Advisory Council – Kick Off 2021 ,Paola de Bona,"February 8, 2021",Event Information,1,6,SAP Employee,Support Services,https://blogs.sap.com/2021/02/08/sap-enterprise-support-advisory-council-kick-off-2021/
Simplifying application generation for SAPUI5 freestyle and SAP Fiori elements apps ,Ashley Tung,"February 8, 2021",Product Information,5,18,SAP Employee,"SAP Fiori,SAP Business Application Studio,SAP Fiori Elements,SAP Fiori tools,SAPUI5",https://blogs.sap.com/2021/02/08/simplifying-application-generation-for-sapui5-freestyle-and-sap-fiori-elements-apps/
从S/4 HANA Cloud ES 2102总账科目手工清账使用的应用变化谈起来 ,Bob Shen,"February 8, 2021",Product Information,0,0,SAP Employee,SAP S/4HANA Cloud,https://blogs.sap.com/2021/02/08/%e4%bb%8es-4-hana-cloud-es-2102%e6%80%bb%e8%b4%a6%e7%a7%91%e7%9b%ae%e6%89%8b%e5%b7%a5%e6%b8%85%e8%b4%a6%e4%bd%bf%e7%94%a8%e7%9a%84%e5%ba%94%e7%94%a8%e5%8f%98%e5%8c%96%e8%b0%88%e8%b5%b7%e6%9d%a5/
Key topics for running SAP Oracle on AWS ,Mario De Felipe,"February 8, 2021",Technical Articles,2,5,N/A,"Oracle Database,Cloud",https://blogs.sap.com/2021/02/08/key-topics-for-running-sap-oracle-on-aws/
What is ‘Load Average’? ,Ram Lakshmanan,"February 8, 2021",Technical Articles,0,0,N/A,Java,https://blogs.sap.com/2021/02/08/what-is-load-average/
International Editable SALV Day 2021 – Year 13 ,Paul Hardy,"February 7, 2021",Personal Insights,13,20,N/A,"ABAP Development,UI SAP GUI for Windows",https://blogs.sap.com/2021/02/07/international-editable-salv-day-2021-year-13/
SAP BTP Showcase – Provide governed business semantics with SAP Data Warehouse Cloud ,Gustavo Calixto,"February 7, 2021",Technical Articles,0,0,SAP Employee,SAP Data Warehouse Cloud,https://blogs.sap.com/2021/02/07/sap-btp-showcase-provide-governed-business-semantics-with-sap-data-warehouse-cloud/
EIPinCPI – Smart Proxy ,Bhalchandra Wadekar,"February 7, 2021",Technical Articles,0,1,N/A,"SAP Integration Suite,SAP Cloud Integration for data services,SAP Cloud Platform Integration for process services,SAP Enterprise Messaging,SAP Integration Suite tools",https://blogs.sap.com/2021/02/07/eipincpi-smart-proxy/
Don’t you feel like you are missing a piece in your SAP Integration Suite landscape? ,Maximiliano Colman,"February 7, 2021",Technical Articles,1,6,N/A,"SAP Cloud Platform Open Connectors,SAP API Management,SAP Cloud Platform Integration for process services",https://blogs.sap.com/2021/02/07/dont-you-feel-like-you-are-missing-a-piece-in-your-sap-integration-suite-landscape/
SAPUI5 : How to create form with OData (deep insert) ,Joseph BERTHE,"February 7, 2021",Technical Articles,2,4,N/A,"SAPUI5,NW ABAP Gateway (OData),SAP Fiori",https://blogs.sap.com/2021/02/07/sapui5-how-to-create-form-with-odata-deep-insert/
quiz questions for “ABAP quiz and paint game” ,Michael Keller,"February 7, 2021",Personal Insights,11,21,N/A,ABAP Development,https://blogs.sap.com/2021/02/07/quiz-questions-for-abap-quiz-and-paint-game/
How to Check Duplicate BP Ref. Number? ,Maya Shiff,"February 7, 2021",Product Information,0,0,SAP Employee,"SAP Business One,SAP Business One, version for SAP HANA",https://blogs.sap.com/2021/02/07/how-to-check-duplicate-bp-ref.-number/
Ideas for Stammtisch ,Enric Castella Gonzalez,"February 7, 2021",Event Information,3,6,N/A,SAP Community,https://blogs.sap.com/2021/02/07/ideas-for-stammtisch/
Side Panels in GUI for Windows ,Peter Atkin,"February 7, 2021",Technical Articles,2,4,N/A,"PLM Enterprise Asset Management (EAM)/Plant Maintenance (PM),User Interface",https://blogs.sap.com/2021/02/07/side-panels-in-gui-for-windows/
Exporting data from HANA cloud to Amazon S3 Storage ,Sreekanth Surampally,"February 6, 2021",Technical Articles,1,3,N/A,"SAP HANA Cloud,SAP HANA,SAP HANA service for SAP BTP",https://blogs.sap.com/2021/02/06/exporting-data-from-hana-cloud-to-amazon-s3-storage/
Multiple SOs not combining into one delivery ,Dishank Malde,"February 6, 2021",Technical Articles,0,1,N/A,ABAP Development,https://blogs.sap.com/2021/02/06/multiple-orders-not-combining-into-one-delivery/
Printing Slowness ,Dishank Malde,"February 6, 2021",Technical Articles,6,4,N/A,ABAP Development,https://blogs.sap.com/2021/02/06/printing-slowness/
How automation lowers the cost of a garment ,Alisha Morgan,"February 6, 2021",Technical Articles,0,0,N/A,SAP ERP,https://blogs.sap.com/2021/02/06/how-automation-lowers-the-cost-of-a-garment/
Get Certified: Microsoft Certified – Azure for SAP Workloads Specialty ,Denys van Kempen,"February 6, 2021",Technical Articles,3,6,SAP Employee,"SAP HANA,Certification,SAP NetWeaver",https://blogs.sap.com/2021/02/06/get-certified-microsoft-certified-azure-for-sap-workloads-specialy/
Stateful OData services ?? ,Helmut Tammen,"February 6, 2021",Technical Articles,5,7,N/A,OData,https://blogs.sap.com/2021/02/06/stateful-odata-services/
Computer Vision (Python OpenCV) With S4HANA Master Data Governance! ,Vinay Bhatt,"February 5, 2021",Technical Articles,2,3,SAP Employee,"SAP Data Intelligence,SAP Master Data Governance,SAP S/4HANA",https://blogs.sap.com/2021/02/05/computer-vision-python-opencv-with-s4hana-master-data-governance/
How to Migrate to the Advantco Salesforce Adapter for CPI ,Peter Ha,"February 5, 2021",Technical Articles,0,5,N/A,SAP Integration Suite tools,https://blogs.sap.com/2021/02/05/how-to-migrate-to-the-advantco-salesforce-adapter-for-cpi/
My Learning Bucket List for 2021 ,Witalij Rudnicki,"February 5, 2021",Personal Insights,2,10,SAP Employee,"SAP Business Technology Platform,Machine Learning,SAP Analytics Cloud,SAP Community,SAP Data Intelligence",https://blogs.sap.com/2021/02/05/my-learning-bucket-list-for-2021/
Cutover highlights for SAP S/4HANA New implementation ,Vivian Mafra,"February 5, 2021",Technical Articles,2,14,SAP Employee,SAP S/4HANA,https://blogs.sap.com/2021/02/05/cutover-highlights-for-sap-s-4hana-new-implementation/
Readiness Check: Financial Data Quality Check ,Monica Reyes,"February 5, 2021",Personal Insights,0,9,SAP Employee,"SAP S/4HANA,SAP S/4HANA Finance",https://blogs.sap.com/2021/02/05/readiness-check-financial-data-quality-check/
Adding Web Dynpro Application to SAP GUI for EWM ,Tufan Mengus,"February 5, 2021",Technical Articles,0,1,N/A,"SAP Extended Warehouse Management,EWM - Basic Functions,EWM - Goods Movement,EWM - Interfaces,EWM - Shipping and Receiving",https://blogs.sap.com/2021/02/05/adding-web-dynpro-application-to-sap-gui/
Replicating TABLE from SAP S/4HANA  to DB2 Z/OS via SAP Landscape Transformation (SLT) ,Sreeram Kaki,"February 5, 2021",Technical Articles,6,7,SAP Employee,"SAP Landscape Transformation replication server,SAP HANA",https://blogs.sap.com/2021/02/05/replicating-table-from-sap-s-4hana-to-db2-z-os-via-sap-landscape-transformation-slt/
Stop flipping between SRM GUI and web GUI ,Ravi Pachauri,"February 5, 2021",Product Information,0,0,N/A,SAP Supplier Relationship Management,https://blogs.sap.com/2021/02/05/stop-flipping-between-srm-gui-and-web-gui/
How Partner Add-On solutions enhance SAP’s Master Data Governance ,Christian Geiseler,"February 5, 2021",Product Information,0,7,SAP Employee,"SAP Master Data Governance,SAP S/4HANA",https://blogs.sap.com/2021/02/05/how-partner-add-on-solutions-enhance-saps-master-data-governance/
